,LINK_ID,store_name,store_addr,lat_x,lot_x,도로_x,layer,path,지역,구로구,동,도로_y,유동인구_평균,lat_y,lot_y
70,1220033300,청담공원,서울특별시 강남구 학동로 506 (삼성동)1522-3232,37.5186549,127.0514387,학동로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,삼성1동,학동로,35255,37.5186549,127.0514387
71,1220029000,아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)1522-3232",37.50898041,127.0403869,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,봉은사로,97922,37.50898041,127.0403869
72,1220029100,아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)1522-3232",37.50898041,127.0403869,봉은사로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,봉은사로,97922,37.50898041,127.0403869
73,1220011900,뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동)1522-3232,37.488585,127.032415,강남대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,도곡1동,강남대로,36550,37.488585,127.032415
74,1220024000,역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)1522-3232",37.50080096,127.0351577,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.50080096,127.0351577
75,1220035500,압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)1522-3232",37.526549,127.040437,선릉로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,청담동,선릉로,43176,37.526549,127.040437
76,1220026100,르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동)1522-3232,37.502721,127.044308,테헤란로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,역삼1동,테헤란로,97922,37.502721,127.044308
77,1220029700,논현힐탑,서울특별시 강남구 논현로 648 (논현동)1522-3232,37.5115577,127.032262,논현로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,논현2동,논현로,41704,37.5115577,127.032262
78,1220023200,대치한티,서울특별시 강남구 선릉로 324 (대치동)1522-3232,37.4984818,127.052066,선릉로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치4동,선릉로,37541,37.4984818,127.052066
79,1220024300,대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동)1522-3232,37.500313,127.066961,영동대로,50m제거,G:/내 드라이브/2021 공공빅데이터 청년인턴/프로젝트/데이터/starbucks_50_rm/50m제거.shp,서울,강남구,대치2동,영동대로,49688,37.500313,127.066961
